1,1,0.204096
1,2,0.001361
1,3,0.006301
2,1,0.006277
2,2,0.006278
2,3,0.001143
3,1,0.001474
3,2,0.001027
3,3,0.001256
4,1,0.103817
4,2,0.001376
4,3,0.000859
5,1,0.001497
5,2,0.000975
5,3,0.006304
6,1,0.056817
6,2,0.000978
6,3,0.000714
7,1,0.001363
7,2,0.001548
7,3,0.001315
8,1,0.053614
8,2,0.001115
8,3,0.001177
9,1,0.000785
9,2,0.001191
9,3,0.001129
10,1,0.053659
10,2,0.000904
10,3,0.001122
11,1,0.001443
11,2,0.001316
11,3,0.001032
12,1,0.001346
12,2,0.001317
12,3,0.001336
13,1,0.053477
13,2,0.001060
13,3,0.001231
14,1,0.001463
14,2,0.001367
14,3,0.001370
15,1,0.053663
15,2,0.000910
15,3,0.001359
16,1,0.001344
16,2,0.103922
16,3,0.001323
17,1,0.053582
17,2,0.001279
17,3,0.001112
18,1,0.030381
18,2,0.001315
18,3,0.001262
19,1,0.001421
19,2,0.000765
19,3,0.001157
20,1,0.053640
20,2,0.001316
20,3,0.001379
21,1,0.001368
21,2,0.001287
21,3,0.000702
22,1,0.053634
22,2,0.001028
22,3,0.000725
23,1,0.001422
23,2,0.001243
23,3,0.000723
24,1,0.053463
24,2,0.001392
24,3,0.001316
25,1,0.000833
25,2,0.001186
25,3,0.001320
26,1,0.053618
26,2,0.001296
26,3,0.001332
27,1,0.001503
27,2,0.000998
27,3,0.001126
28,1,0.053668
28,2,0.001316
28,3,0.001289
29,1,0.001395
29,2,0.000830
29,3,0.001071
30,1,0.001405
30,2,0.001261
30,3,0.001278
31,1,0.001466
31,2,0.001286
31,3,0.001258
32,1,0.040227
32,2,0.000973
32,3,0.000945
33,1,0.001365
33,2,0.000817
33,3,0.001195
34,1,0.053599
34,2,0.001409
34,3,0.001249
35,1,0.001481
35,2,0.001281
35,3,0.000763
36,1,0.001332
36,2,0.001311
36,3,0.000713
37,1,0.053642
37,2,0.001304
37,3,0.001245
38,1,0.001497
38,2,0.000911
38,3,0.000978
39,1,0.001327
39,2,0.001373
39,3,0.001461
40,1,0.001245
40,2,0.001365
40,3,0.001152
41,1,0.053672
41,2,0.001295
41,3,0.000697
42,1,0.001669
42,2,0.000772
42,3,0.001096
43,1,0.056796
43,2,0.001260
43,3,0.001295
1,1,0.053379
1,2,0.000833
1,3,0.006301
2,1,0.053541
2,2,0.001336
2,3,0.006307
3,1,0.053678
3,2,0.001327
3,3,0.006278
4,1,0.053707
4,2,0.001180
4,3,0.001013
5,1,0.053659
5,2,0.001325
5,3,0.001057
6,1,0.051050
6,2,0.005198
6,3,0.001008
7,1,0.053624
7,2,0.006290
7,3,0.001238
8,1,0.053478
8,2,0.001265
8,3,0.000947
9,1,0.053733
9,2,0.001099
9,3,0.000713
10,1,0.053650
10,2,0.001032
10,3,0.000895
11,1,0.053740
11,2,0.001213
11,3,0.000877
12,1,0.056691
12,2,0.001331
12,3,0.001240
13,1,0.053586
13,2,0.001245
13,3,0.001326
14,1,0.053443
14,2,0.001314
14,3,0.000806
15,1,0.056499
15,2,0.001164
15,3,0.000696
16,1,0.053537
16,2,0.001309
16,3,0.000732
17,1,0.053351
17,2,0.001244
17,3,0.001114
18,1,0.053577
18,2,0.001309
18,3,0.001175
19,1,0.053628
19,2,0.001282
19,3,0.000732
20,1,0.053522
20,2,0.001332
20,3,0.001235
21,1,0.053637
21,2,0.000793
21,3,0.001122
22,1,0.053487
22,2,0.000835
22,3,0.000791
23,1,0.053552
23,2,0.000746
23,3,0.001112
24,1,0.053610
24,2,0.001055
24,3,0.001233
25,1,0.053658
25,2,0.001339
25,3,0.001262
26,1,0.053718
26,2,0.001323
26,3,0.001457
27,1,0.053611
27,2,0.001291
27,3,0.000723
28,1,0.053675
28,2,0.000755
28,3,0.000744
29,1,0.056817
29,2,0.001175
29,3,0.000734
30,1,0.053449
30,2,0.001303
30,3,0.000731
31,1,0.053606
31,2,0.000819
31,3,0.001075
32,1,0.053601
32,2,0.001328
32,3,0.001290
33,1,0.053610
33,2,0.001290
33,3,0.000713
34,1,0.052233
34,2,0.001260
34,3,0.000763
35,1,0.053695
35,2,0.001308
35,3,0.001132
36,1,0.057338
36,2,0.000989
36,3,0.000937
37,1,0.053528
37,2,0.001411
37,3,0.001296
38,1,0.053686
38,2,0.001398
38,3,0.000763
